rule_id,source,column,severity,rows_checked,failures,failure_rate,sample_row_identifiers,comment
EQP-SCH-001,equipment,*,bloquante,420,0,0.0,,colonnes absentes : aucune
EQP-SCH-002,equipment,commissioning_date,majeure,420,0,0.0,,
EQP-SCH-003,equipment,rated_power_kw,majeure,420,0,0.0,,
EQP-KEY-001,equipment,equipment_id,bloquante,420,0,0.0,,
EQP-KEY-002,equipment,equipment_id,bloquante,420,8,0.019,"EQ-CHILL-128, EQ-CONV-222, EQ-OVEN-366, EQ-ROBOT-390, EQ-CHILL-128, EQ-CONV-222, EQ-OVEN-366, EQ-ROBOT-390",
EQP-KEY-003,equipment,*,majeure,420,4,0.0095,"EQ-CHILL-128, EQ-CONV-222, EQ-OVEN-366, EQ-ROBOT-390",
EQP-CAT-001,equipment,criticality,majeure,420,0,0.0,,
EQP-NOM-001,equipment,criticality,majeure,420,0,0.0,,
EQP-CAS-001,equipment,criticality,mineure,420,0,0.0,,
EQP-CAT-002,equipment,site_id,mineure,420,0,0.0,,4 valeurs distinctes
EQP-CAT-003,equipment,equipment_type,mineure,420,0,0.0,,"19 valeurs distinctes ; effectif <= 2 : Pump  ; libelles voisins : [('Pump ', 'pump')]"
EQP-CAS-002,equipment,equipment_type,mineure,420,1,0.0024,EQ-CAB-239,
EQP-TMP-001,equipment,commissioning_date,majeure,420,1,0.0024,EQ-CONV-137,
EQP-TMP-002,equipment,commissioning_date,mineure,420,0,0.0,,
EQP-VAL-001,equipment,rated_power_kw,majeure,420,1,0.0024,EQ-COMP-169,
EQP-VAL-002,equipment,rated_power_kw,mineure,420,0,0.0,,
EQP-NUL-001,equipment,manufacturer,mineure,420,0,0.0,,taux de valeurs absentes — manufacturer : 0.2%
EQP-NUL-002,equipment,rated_power_kw,mineure,420,0,0.0,,taux de valeurs absentes — rated_power_kw : 0.2%
EVT-SCH-001,events,*,bloquante,520,0,0.0,,colonnes absentes : aucune
EVT-SCH-002,events,"start_at, end_at",majeure,520,0,0.0,,
EVT-KEY-001,events,event_id,bloquante,520,0,0.0,,
EVT-KEY-002,events,event_id,bloquante,520,8,0.0154,"EVT-2026S1-0022, EVT-2026S1-0155, EVT-2026S1-0314, EVT-2026S1-0432, EVT-2026S1-0022, EVT-2026S1-0155, EVT-2026S1-0314, EVT-2026S1-0432",
EVT-KEY-003,events,*,majeure,520,4,0.0077,"EVT-2026S1-0022, EVT-2026S1-0155, EVT-2026S1-0314, EVT-2026S1-0432",
EVT-REF-001,events,equipment_id,bloquante,520,0,0.0,,
EVT-REF-002,events,equipment_id,bloquante,520,1,0.0019,EVT-2026S1-0180,
EVT-CAT-001,events,event_type,majeure,520,0,0.0,,
EVT-NOM-001,events,event_type,majeure,520,0,0.0,,
EVT-CAS-001,events,event_type,mineure,520,1,0.0019,EVT-2026S1-0265,
EVT-CAT-002,events,severity,majeure,520,1,0.0019,EVT-2026S1-0102,
EVT-NOM-002,events,severity,majeure,520,0,0.0,,
EVT-CAS-002,events,severity,mineure,520,0,0.0,,
EVT-CAT-003,events,period,majeure,520,0,0.0,,
EVT-TMP-001,events,end_at,majeure,520,1,0.0019,EVT-2026S1-0032,
EVT-TMP-002,events,start_at,majeure,520,0,0.0,,
EVT-TMP-003,events,start_at,majeure,520,1,0.0019,EVT-2026S1-0467,
EVT-NUL-001,events,end_at,mineure,520,0,0.0,,taux de valeurs absentes — end_at : 2.5%
MNT-SCH-001,maintenance,*,bloquante,1800,0,0.0,,colonnes absentes : aucune
