equipment_id,equipment_type,site_id,criticality,manufacturer,rated_power_kw,event_type,equipment_age_days,start_month,start_weekday,start_hour,severity
EQ-PUMP-001,pump,SITE-NORD,critical,Aster Industrie,50.6,incident,7082.0,2,3,22,high
EQ-COMP-002,compressor,SITE-NORD,high,MecaNova,93.2,observation,6676.0,4,5,6,high
EQ-FAN-004,fan,SITE-SUD,low,Rotatek,43.9,observation,2198.0,5,5,22,critical
EQ-PUMP-002,pump,SITE-OUEST,critical,Aster Industrie,39.9,observation,4212.0,1,1,7,medium
EQ-PRESS-001,press,SITE-NORD,high,Valcor,145.6,incident,5584.0,6,1,5,high
EQ-COMP-001,compressor,SITE-EST,medium,Rotatek,69.0,incident,4354.0,1,2,3,high
EQ-PUMP-003,pump,SITE-EST,medium,Aster Industrie,33.5,intervention,4828.0,1,4,0,medium
EQ-FAN-002,fan,SITE-EST,high,MecaNova,37.7,intervention,3526.0,1,3,13,medium
EQ-CHILL-001,chiller,SITE-NORD,low,Rotatek,63.6,incident,3903.0,1,4,12,high
EQ-PUMP-001,pump,SITE-NORD,critical,Aster Industrie,50.6,observation,7201.0,6,3,1,low
EQ-COMP-002,compressor,SITE-NORD,high,MecaNova,93.2,incident,6713.0,5,0,9,high
EQ-PUMP-004,pump,SITE-EST,high,Valcor,43.3,incident,2251.0,6,4,19,high
EQ-FAN-003,fan,SITE-NORD,critical,Rotatek,35.1,incident,5604.0,4,3,19,medium
EQ-CHILL-002,chiller,SITE-NORD,high,Rotatek,52.6,alert,2968.0,5,6,21,medium
EQ-PRESS-001,press,SITE-NORD,high,Valcor,145.6,intervention,5451.0,1,1,6,critical
EQ-MIX-002,mixer,SITE-NORD,critical,Rotatek,68.3,incident,1848.0,1,3,2,medium
EQ-PUMP-002,pump,SITE-OUEST,critical,Aster Industrie,39.9,incident,4278.0,4,4,14,low
EQ-PRESS-003,press,SITE-NORD,low,MecaNova,131.8,incident,1013.0,4,4,14,high
EQ-PUMP-005,pump,SITE-NORD,medium,Thermis,56.6,observation,3045.0,4,3,19,high
EQ-CONV-005,conveyor,SITE-NORD,medium,Thermis,54.6,intervention,7357.0,3,0,14,medium
EQ-FAN-001,fan,SITE-EST,medium,MecaNova,31.2,incident,5221.0,1,2,1,high
EQ-CHILL-001,chiller,SITE-NORD,low,Rotatek,63.6,incident,4028.0,5,3,14,medium
EQ-ROBOT-003,robot,SITE-SUD,medium,MecaNova,33.2,observation,2681.0,3,5,2,medium
EQ-COMP-001,compressor,SITE-EST,medium,Rotatek,69.0,observation,4491.0,5,6,7,low
EQ-PUMP-006,pump,SITE-NORD,critical,Thermis,49.4,incident,4663.0,4,2,12,critical
EQ-PUMP-251,pump,SITE-SUD,low,Valcor,56.3,alert,6596.0,3,1,11,high
EQ-COMP-273,compressor,SITE-SUD,low,MecaNova,102.3,observation,1546.0,5,3,4,high
EQ-FAN-284,fan,SITE-SUD,medium,MecaNova,45.8,intervention,1142.0,2,0,21,critical
EQ-MIX-339,mixer,SITE-OUEST,high,Rotatek,28.0,incident,432.0,1,5,12,medium
EQ-PUMP-350,pump,SITE-NORD,high,Thermis,37.3,incident,1244.0,2,1,13,high
EQ-OVEN-383,oven,SITE-NORD,medium,MecaNova,121.4,incident,4249.0,2,0,15,low
EQ-PUMP-127,pump,SITE-NORD,medium,Valcor,28.4,incident,4486.0,3,1,10,high
EQ-ROBOT-138,robot,SITE-NORD,medium,Thermis,40.6,observation,6024.0,3,0,12,medium
EQ-COMP-149,compressor,SITE-OUEST,medium,Aster Industrie,77.7,incident,3301.0,3,0,11,high
EQ-FAN-160,fan,SITE-EST,low,Valcor,46.2,observation,5364.0,5,0,1,low
EQ-PUMP-171,pump,SITE-SUD,critical,Rotatek,44.4,incident,5451.0,1,3,19,high
EQ-FAN-204,fan,SITE-EST,critical,MecaNova,56.7,incident,1609.0,5,3,13,critical
EQ-ROBOT-215,robot,SITE-SUD,high,Aster Industrie,23.3,observation,2734.0,1,0,23,high
EQ-OVEN-226,oven,SITE-EST,low,Thermis,209.1,incident,6559.0,2,1,20,high
EQ-PRESS-237,press,SITE-SUD,low,Rotatek,148.9,alert,5304.0,2,1,20,critical
EQ-CHILL-248,chiller,SITE-NORD,critical,Rotatek,34.5,intervention,5738.0,3,6,4,high
EQ-MIX-259,mixer,SITE-NORD,medium,MecaNova,41.9,incident,1778.0,1,2,15,medium
EQ-PUMP-270,pump,SITE-NORD,high,Valcor,35.2,observation,1689.0,5,3,20,high
