event_id,equipment_id,sensor_name,event_type,severity,mesures,mesures_renseignees,minimum,maximum,moyenne,ecart_type,premiere_mesure,derniere_mesure,completude_pct
EVT-2026S1-0001,EQ-PUMP-001,pressure_bar,incident,high,12,12,5.39,6.27,5.894,0.306,2026-02-18 00:00:00+00:00,2026-02-20 18:00:00+00:00,100.0
EVT-2026S1-0001,EQ-PUMP-001,temperature_c,incident,high,12,12,53.99,65.17,60.666,3.789,2026-02-18 00:00:00+00:00,2026-02-20 18:00:00+00:00,100.0
EVT-2026S1-0001,EQ-PUMP-001,vibration_mm_s,incident,high,12,12,2.08,3.76,3.29,0.446,2026-02-18 02:00:00+00:00,2026-02-20 20:00:00+00:00,100.0
EVT-2026S1-0002,EQ-CONV-003,current_a,incident,medium,12,12,17.13,27.22,22.59,2.734,2026-05-20 18:00:00+00:00,2026-05-23 12:00:00+00:00,100.0
EVT-2026S1-0002,EQ-CONV-003,rpm,incident,medium,12,12,1104.53,1317.94,1248.784,60.864,2026-05-20 18:00:00+00:00,2026-05-23 12:00:00+00:00,100.0
EVT-2026S1-0003,EQ-COMP-002,pressure_bar,observation,high,16,15,5.97,7.14,6.59,0.288,2026-04-09 12:00:00+00:00,2026-04-13 06:00:00+00:00,93.75
EVT-2026S1-0003,EQ-COMP-002,temperature_c,observation,high,16,16,53.68,64.13,59.046,3.311,2026-04-09 12:00:00+00:00,2026-04-13 06:00:00+00:00,100.0
EVT-2026S1-0007,EQ-OVEN-001,current_a,intervention,high,16,16,21.89,27.2,24.161,1.771,2026-02-04 12:00:00+00:00,2026-02-08 06:00:00+00:00,100.0
EVT-2026S1-0007,EQ-OVEN-001,temperature_c,intervention,high,16,16,43.2,55.41,50.504,3.416,2026-02-04 12:00:00+00:00,2026-02-08 06:00:00+00:00,100.0
EVT-2026S1-0012,EQ-FAN-002,current_a,intervention,medium,16,16,21.19,26.16,23.729,1.596,2026-01-20 18:00:00+00:00,2026-01-24 12:00:00+00:00,100.0
EVT-2026S1-0012,EQ-FAN-002,rpm,intervention,medium,16,16,1165.85,1302.78,1243.214,38.226,2026-01-20 18:00:00+00:00,2026-01-24 12:00:00+00:00,100.0
EVT-2026S1-0012,EQ-FAN-002,vibration_mm_s,intervention,medium,16,16,2.35,3.41,2.93,0.315,2026-01-20 18:00:00+00:00,2026-01-24 12:00:00+00:00,100.0
EVT-2026S1-0013,EQ-CHILL-001,pressure_bar,incident,high,7,7,5.32,5.77,5.563,0.189,2026-01-02 00:00:00+00:00,2026-01-03 12:00:00+00:00,100.0
EVT-2026S1-0013,EQ-CHILL-001,temperature_c,incident,high,7,7,53.95,66.35,59.974,4.513,2026-01-02 00:00:00+00:00,2026-01-03 12:00:00+00:00,100.0
EVT-2026S1-0015,EQ-PUMP-001,pressure_bar,observation,low,17,17,5.73,6.74,6.196,0.298,2026-06-16 06:00:00+00:00,2026-06-20 06:00:00+00:00,100.0
EVT-2026S1-0015,EQ-PUMP-001,temperature_c,observation,low,17,17,52.5,63.34,58.521,3.548,2026-06-16 06:00:00+00:00,2026-06-20 06:00:00+00:00,100.0
EVT-2026S1-0015,EQ-PUMP-001,vibration_mm_s,observation,low,18,18,2.49,3.29,2.864,0.27,2026-06-16 02:00:00+00:00,2026-06-20 08:00:00+00:00,100.0
EVT-2026S1-0018,EQ-COMP-002,pressure_bar,incident,high,15,15,5.76,6.71,6.254,0.257,2026-05-16 12:00:00+00:00,2026-05-20 00:00:00+00:00,100.0
EVT-2026S1-0018,EQ-COMP-002,temperature_c,incident,high,15,15,56.18,69.49,62.552,4.583,2026-05-16 12:00:00+00:00,2026-05-20 00:00:00+00:00,100.0
EVT-2026S1-0022,EQ-FAN-003,rpm,incident,medium,16,16,1374.84,1479.29,1423.824,34.443,2026-04-29 00:00:00+00:00,2026-05-02 18:00:00+00:00,100.0
EVT-2026S1-0022,EQ-FAN-003,vibration_mm_s,incident,medium,16,16,2.26,3.42,2.901,0.333,2026-04-29 00:00:00+00:00,2026-05-02 18:00:00+00:00,100.0
EVT-2026S1-0030,EQ-OVEN-001,current_a,intervention,low,14,14,21.47,27.97,24.106,1.837,2026-05-02 18:00:00+00:00,2026-05-06 00:00:00+00:00,100.0
EVT-2026S1-0030,EQ-OVEN-001,temperature_c,intervention,low,14,14,46.44,56.83,51.349,3.459,2026-05-02 18:00:00+00:00,2026-05-06 00:00:00+00:00,100.0
EVT-2026S1-0036,EQ-CHILL-001,pressure_bar,incident,medium,15,15,5.2,6.28,5.861,0.301,2026-05-05 18:00:00+00:00,2026-05-09 06:00:00+00:00,100.0
EVT-2026S1-0036,EQ-CHILL-001,temperature_c,incident,medium,15,15,49.55,61.34,55.767,3.894,2026-05-05 18:00:00+00:00,2026-05-09 06:00:00+00:00,100.0
EVT-2026S1-0039,EQ-PUMP-006,temperature_c,incident,critical,15,15,51.34,69.29,61.576,5.294,2026-04-27 18:00:00+00:00,2026-05-01 06:00:00+00:00,100.0
EVT-2026S1-0039,EQ-PUMP-006,vibration_mm_s,incident,critical,15,15,3.28,5.11,4.169,0.574,2026-04-27 18:00:00+00:00,2026-05-01 06:00:00+00:00,100.0
EVT-2026S1-0040,EQ-CONV-003,current_a,observation,medium,13,13,17.48,23.47,20.584,1.961,2026-01-22 06:00:00+00:00,2026-01-25 06:00:00+00:00,100.0
EVT-2026S1-0040,EQ-CONV-003,rpm,observation,medium,13,13,1223.39,1367.6,1288.072,37.972,2026-01-22 06:00:00+00:00,2026-01-25 06:00:00+00:00,100.0
EVT-2026S1-0042,EQ-CONV-262,current_a,intervention,medium,16,16,25.31,32.49,28.691,2.105,2026-02-25 12:00:00+00:00,2026-03-01 06:00:00+00:00,100.0
EVT-2026S1-0042,EQ-CONV-262,rpm,intervention,medium,16,16,1401.9,1541.6,1466.442,39.66,2026-02-25 12:00:00+00:00,2026-03-01 06:00:00+00:00,100.0
EVT-2026S1-0044,EQ-FAN-284,rpm,intervention,critical,17,17,1582.04,1707.3,1641.109,32.471,2026-02-22 00:00:00+00:00,2026-02-26 00:00:00+00:00,100.0
EVT-2026S1-0044,EQ-FAN-284,vibration_mm_s,intervention,critical,17,17,2.11,3.24,2.728,0.333,2026-02-22 00:00:00+00:00,2026-02-26 00:00:00+00:00,100.0
EVT-2026S1-0050,EQ-PUMP-350,temperature_c,incident,high,18,18,53.45,72.27,64.707,4.895,2026-02-08 18:00:00+00:00,2026-02-13 00:00:00+00:00,100.0
EVT-2026S1-0050,EQ-PUMP-350,vibration_mm_s,incident,high,18,18,2.78,4.48,3.727,0.475,2026-02-08 18:00:00+00:00,2026-02-13 00:00:00+00:00,100.0
EVT-2026S1-0061,EQ-PUMP-171,temperature_c,incident,high,17,17,56.8,71.91,65.239,4.468,2026-01-14 00:00:00+00:00,2026-01-18 00:00:00+00:00,100.0
EVT-2026S1-0061,EQ-PUMP-171,vibration_mm_s,incident,high,17,17,2.58,4.37,3.361,0.544,2026-01-14 00:00:00+00:00,2026-01-18 00:00:00+00:00,100.0
EVT-2026S1-0064,EQ-FAN-204,vibration_mm_s,incident,critical,14,14,2.53,4.62,3.738,0.601,2026-05-05 18:00:00+00:00,2026-05-09 00:00:00+00:00,100.0
EVT-2026S1-0068,EQ-CHILL-248,pressure_bar,intervention,high,15,15,6.38,7.47,6.889,0.297,2026-03-13 06:00:00+00:00,2026-03-16 18:00:00+00:00,100.0
EVT-2026S1-0068,EQ-CHILL-248,temperature_c,intervention,high,15,15,46.15,57.42,52.212,3.837,2026-03-13 06:00:00+00:00,2026-03-16 18:00:00+00:00,100.0
EVT-2026S1-0069,EQ-MIX-259,current_a,incident,medium,13,13,19.77,24.88,21.972,1.583,2026-01-05 18:00:00+00:00,2026-01-08 18:00:00+00:00,100.0
EVT-2026S1-0069,EQ-MIX-259,vibration_mm_s,incident,medium,13,13,2.3,3.32,2.754,0.274,2026-01-05 18:00:00+00:00,2026-01-08 18:00:00+00:00,100.0
EVT-2026S1-0076,EQ-CONV-336,current_a,incident,high,15,15,20.65,27.99,24.363,1.889,2026-01-09 18:00:00+00:00,2026-01-13 06:00:00+00:00,100.0
EVT-2026S1-0076,EQ-CONV-336,rpm,incident,high,15,15,1235.21,1388.76,1317.384,43.073,2026-01-09 18:00:00+00:00,2026-01-13 06:00:00+00:00,100.0
EVT-2026S1-0078,EQ-ROBOT-358,current_a,intervention,medium,13,13,18.76,23.65,21.08,1.619,2026-01-22 00:00:00+00:00,2026-01-25 00:00:00+00:00,100.0
EVT-2026S1-0078,EQ-ROBOT-358,vibration_mm_s,intervention,medium,13,13,2.32,3.47,2.797,0.33,2026-01-22 00:00:00+00:00,2026-01-25 00:00:00+00:00,100.0
EVT-2026S1-0083,EQ-COMP-113,pressure_bar,observation,high,15,15,5.59,6.43,6.026,0.258,2026-04-07 12:00:00+00:00,2026-04-11 00:00:00+00:00,100.0
EVT-2026S1-0083,EQ-COMP-113,temperature_c,observation,high,15,15,57.74,66.8,62.263,3.118,2026-04-07 12:00:00+00:00,2026-04-11 00:00:00+00:00,100.0
EVT-2026S1-0088,EQ-CHILL-168,pressure_bar,intervention,high,17,17,6.71,7.75,7.186,0.315,2026-06-05 18:00:00+00:00,2026-06-09 18:00:00+00:00,100.0
EVT-2026S1-0088,EQ-CHILL-168,temperature_c,intervention,high,17,17,53.8,66.31,59.181,3.565,2026-06-05 18:00:00+00:00,2026-06-09 18:00:00+00:00,100.0
