equipment_id,sensor,releves,pente_par_jour,amplitude_totale,correlation_temps,ecart_type,debut_moyenne_10pct,fin_moyenne_10pct
EQ-CHILL-248,temperature_c,719,0.04657,8.371,0.5046,4.798,52.654,61.565
EQ-FAN-284,rpm,719,0.08011,14.4,0.1033,40.329,1621.751,1645.655
EQ-PUMP-171,vibration_mm_s,720,-0.00065,-0.119,-0.0959,0.353,2.996,2.868
EQ-FAN-304,vibration_mm_s,720,0.00093,0.167,0.0808,0.597,2.612,2.639
EQ-CONV-003,current_a,718,0.00224,0.403,0.0617,1.892,21.236,21.352
EQ-PUMP-006,temperature_c,719,0.00444,0.798,0.0609,3.793,54.739,54.825
EQ-PUMP-171,temperature_c,722,-0.00421,-0.772,-0.0596,3.674,61.724,60.633
EQ-MIX-379,vibration_mm_s,719,-0.00033,-0.06,-0.0513,0.336,2.859,2.82
EQ-FAN-284,vibration_mm_s,720,-0.00036,-0.064,-0.051,0.362,2.796,2.662
EQ-MIX-159,vibration_mm_s,720,0.00031,0.056,0.0476,0.341,2.687,2.719
EQ-PUMP-006,vibration_mm_s,720,0.00036,0.065,0.0476,0.394,3.141,3.123
EQ-CAB-134,current_a,721,-0.00155,-0.285,-0.0439,1.832,21.838,21.578
EQ-CHILL-188,pressure_bar,719,-0.00023,-0.042,-0.0432,0.279,6.386,6.321
EQ-PUMP-001,pressure_bar,720,0.00022,0.039,0.0409,0.275,6.044,6.083
EQ-PUMP-001,vibration_mm_s,721,-0.00026,-0.048,-0.0392,0.346,2.868,2.851
EQ-CONV-262,rpm,719,0.02796,5.026,0.0388,37.502,1457.549,1465.651
EQ-OVEN-386,temperature_c,718,0.00276,0.497,0.0383,3.752,62.185,62.686
EQ-COMP-113,temperature_c,719,-0.00266,-0.478,-0.0375,3.685,62.379,62.208
EQ-PUMP-350,temperature_c,720,-0.00258,-0.464,-0.0367,3.655,60.554,60.424
EQ-COMP-002,pressure_bar,719,-0.00019,-0.035,-0.0366,0.273,6.588,6.563
EQ-FAN-002,vibration_mm_s,719,0.00022,0.04,0.0353,0.329,2.898,2.917
EQ-COMP-233,temperature_c,720,0.00234,0.421,0.0335,3.639,59.224,59.127
EQ-ROBOT-358,current_a,719,0.00114,0.205,0.0326,1.815,20.866,21.098
EQ-COMP-396,pressure_bar,719,0.00016,0.029,0.0305,0.279,6.103,6.109
EQ-MIX-259,vibration_mm_s,719,0.0002,0.036,0.0304,0.343,2.568,2.6
EQ-ROBOT-358,vibration_mm_s,718,0.0002,0.036,0.0297,0.348,2.794,2.863
EQ-COMP-249,pressure_bar,719,0.00015,0.027,0.0294,0.27,5.346,5.395
EQ-STEAM-352,pressure_bar,720,-0.00015,-0.027,-0.0286,0.278,6.332,6.37
EQ-MIX-159,current_a,675,0.00094,0.168,0.028,1.79,25.416,25.508
EQ-MIX-259,current_a,720,0.00092,0.165,0.0263,1.812,21.951,22.156
EQ-STEAM-341,pressure_bar,719,-0.00014,-0.025,-0.0262,0.273,6.013,5.964
EQ-CHILL-168,pressure_bar,721,-0.00013,-0.023,-0.0251,0.266,7.218,7.187
EQ-FAN-204,vibration_mm_s,719,-0.00019,-0.033,-0.024,0.403,2.915,2.914
EQ-FAN-002,rpm,720,0.01695,3.047,0.0236,37.324,1236.158,1242.604
EQ-CHILL-001,temperature_c,719,-0.00159,-0.285,-0.0229,3.609,55.939,55.329
EQ-FAN-003,vibration_mm_s,719,0.00014,0.025,0.0216,0.34,2.786,2.829
EQ-CHILL-188,temperature_c,719,0.00148,0.267,0.0212,3.641,58.366,57.948
EQ-STEAM-352,temperature_c,719,0.0014,0.251,0.0206,3.533,59.375,59.368
EQ-COMP-233,pressure_bar,721,-0.00011,-0.019,-0.0203,0.274,6.625,6.647
EQ-OVEN-001,temperature_c,719,0.0013,0.234,0.0189,3.578,50.486,50.662
EQ-OVEN-001,current_a,719,0.00064,0.115,0.0182,1.824,24.285,24.298
EQ-CHILL-001,pressure_bar,720,-9e-05,-0.016,-0.0165,0.278,5.783,5.772
EQ-CONV-003,rpm,720,-0.01186,-2.132,-0.0157,39.182,1286.489,1289.391
EQ-FAN-003,rpm,720,-0.01072,-1.927,-0.0149,37.446,1418.312,1416.738
EQ-CONV-376,rpm,719,0.00928,1.668,0.013,37.036,1512.645,1512.898
EQ-OVEN-386,current_a,719,0.00044,0.078,0.012,1.894,23.287,23.216
EQ-CONV-336,current_a,720,-0.00043,-0.077,-0.012,1.85,22.781,22.588
EQ-FAN-002,current_a,718,0.00041,0.074,0.0118,1.82,23.779,23.729
EQ-PUMP-350,vibration_mm_s,720,-8e-05,-0.015,-0.0117,0.374,2.97,2.982
EQ-ORPHAN-777,temperature_c,30,-0.00528,-0.038,-0.0104,1.101,61.1,59.74
EQ-SENSOR-305,temperature_c,719,-0.00071,-0.127,-0.0101,3.637,55.907,55.989
EQ-COMP-002,temperature_c,719,0.00069,0.124,0.0097,3.682,59.129,59.041
EQ-CHILL-115,temperature_c,720,-0.00062,-0.112,-0.0091,3.572,59.822,59.522
EQ-OVEN-366,temperature_c,720,-0.00061,-0.109,-0.0088,3.603,50.996,50.779
EQ-CONV-376,current_a,720,-0.0003,-0.054,-0.0084,1.862,21.859,21.916
EQ-OVEN-223,temperature_c,720,0.0005,0.089,0.0073,3.53,61.471,61.502
EQ-OVEN-123,temperature_c,720,0.00048,0.086,0.0068,3.627,57.485,57.461
EQ-CHILL-115,pressure_bar,720,-4e-05,-0.006,-0.0066,0.279,6.991,7.007
EQ-OVEN-366,current_a,720,0.00018,0.032,0.005,1.863,23.837,23.675
EQ-COMP-113,pressure_bar,720,3e-05,0.005,0.0049,0.269,5.948,5.923
EQ-CONV-336,rpm,719,0.00347,0.623,0.0047,38.384,1348.188,1354.19
EQ-OVEN-223,current_a,720,-0.00013,-0.023,-0.0036,1.845,23.395,23.405
EQ-STEAM-341,temperature_c,720,0.00016,0.029,0.0024,3.546,55.212,55.239
EQ-MIX-379,current_a,720,-8e-05,-0.014,-0.0022,1.856,21.8,21.776
EQ-CAB-134,temperature_c,720,9e-05,0.015,0.0013,3.543,55.014,54.897
EQ-CHILL-248,pressure_bar,719,1e-05,0.001,0.0013,0.277,6.904,6.907
EQ-CHILL-168,temperature_c,719,9e-05,0.016,0.0012,3.628,58.881,58.912
EQ-CONV-262,current_a,720,4e-05,0.007,0.0011,1.864,28.756,28.858
EQ-FAN-304,rpm,717,-0.00056,-0.1,-0.0008,37.681,1525.334,1526.172
EQ-PUMP-001,temperature_c,718,-6e-05,-0.01,-0.0008,3.535,57.947,57.926
EQ-OVEN-123,current_a,719,-1e-05,-0.002,-0.0003,1.852,24.107,24.246
