equipment_id,timestamp,sensor_name,value,unit,period,row_identifier
EQ-PUMP-001,2025-12-29 12:00:00+00:00,vibration_mm_s,2.71,mm/s,2026-S1,EQ-PUMP-001|2025-12-29T12:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-02 02:00:00+00:00,vibration_mm_s,2.93,mm/s,2026-S1,EQ-PUMP-001|2026-01-02T02:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-02 08:00:00+00:00,vibration_mm_s,2.85,mm/s,2026-S1,EQ-PUMP-001|2026-01-02T08:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-02 14:00:00+00:00,vibration_mm_s,2.64,mm/s,2026-S1,EQ-PUMP-001|2026-01-02T14:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-02 20:00:00+00:00,vibration_mm_s,2.49,mm/s,2026-S1,EQ-PUMP-001|2026-01-02T20:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-03 02:00:00+00:00,vibration_mm_s,2.42,mm/s,2026-S1,EQ-PUMP-001|2026-01-03T02:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-03 08:00:00+00:00,vibration_mm_s,3.2,mm/s,2026-S1,EQ-PUMP-001|2026-01-03T08:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-03 14:00:00+00:00,vibration_mm_s,2.49,mm/s,2026-S1,EQ-PUMP-001|2026-01-03T14:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-03 20:00:00+00:00,vibration_mm_s,2.13,mm/s,2026-S1,EQ-PUMP-001|2026-01-03T20:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-04 02:00:00+00:00,vibration_mm_s,2.79,mm/s,2026-S1,EQ-PUMP-001|2026-01-04T02:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-04 08:00:00+00:00,vibration_mm_s,3.13,mm/s,2026-S1,EQ-PUMP-001|2026-01-04T08:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-04 14:00:00+00:00,vibration_mm_s,2.44,mm/s,2026-S1,EQ-PUMP-001|2026-01-04T14:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-04 20:00:00+00:00,vibration_mm_s,2.5,mm/s,2026-S1,EQ-PUMP-001|2026-01-04T20:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-05 02:00:00+00:00,vibration_mm_s,3.05,mm/s,2026-S1,EQ-PUMP-001|2026-01-05T02:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-05 08:00:00+00:00,vibration_mm_s,3.35,mm/s,2026-S1,EQ-PUMP-001|2026-01-05T08:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-05 14:00:00+00:00,vibration_mm_s,2.98,mm/s,2026-S1,EQ-PUMP-001|2026-01-05T14:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-05 20:00:00+00:00,vibration_mm_s,2.5,mm/s,2026-S1,EQ-PUMP-001|2026-01-05T20:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-06 02:00:00+00:00,vibration_mm_s,3.09,mm/s,2026-S1,EQ-PUMP-001|2026-01-06T02:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-06 08:00:00+00:00,vibration_mm_s,3.31,mm/s,2026-S1,EQ-PUMP-001|2026-01-06T08:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-06 14:00:00+00:00,vibration_mm_s,3.29,mm/s,2026-S1,EQ-PUMP-001|2026-01-06T14:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-06 20:00:00+00:00,vibration_mm_s,2.53,mm/s,2026-S1,EQ-PUMP-001|2026-01-06T20:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-07 02:00:00+00:00,vibration_mm_s,2.86,mm/s,2026-S1,EQ-PUMP-001|2026-01-07T02:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-07 08:00:00+00:00,vibration_mm_s,2.74,mm/s,2026-S1,EQ-PUMP-001|2026-01-07T08:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-07 14:00:00+00:00,vibration_mm_s,2.72,mm/s,2026-S1,EQ-PUMP-001|2026-01-07T14:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-07 20:00:00+00:00,vibration_mm_s,2.75,mm/s,2026-S1,EQ-PUMP-001|2026-01-07T20:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-08 02:00:00+00:00,vibration_mm_s,2.52,mm/s,2026-S1,EQ-PUMP-001|2026-01-08T02:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-08 08:00:00+00:00,vibration_mm_s,3.47,mm/s,2026-S1,EQ-PUMP-001|2026-01-08T08:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-08 14:00:00+00:00,vibration_mm_s,3.1,mm/s,2026-S1,EQ-PUMP-001|2026-01-08T14:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-08 20:00:00+00:00,vibration_mm_s,1.92,mm/s,2026-S1,EQ-PUMP-001|2026-01-08T20:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-09 02:00:00+00:00,vibration_mm_s,3.16,mm/s,2026-S1,EQ-PUMP-001|2026-01-09T02:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-09 08:00:00+00:00,vibration_mm_s,3.29,mm/s,2026-S1,EQ-PUMP-001|2026-01-09T08:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-09 14:00:00+00:00,vibration_mm_s,2.83,mm/s,2026-S1,EQ-PUMP-001|2026-01-09T14:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-09 20:00:00+00:00,vibration_mm_s,2.74,mm/s,2026-S1,EQ-PUMP-001|2026-01-09T20:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-10 02:00:00+00:00,vibration_mm_s,3.23,mm/s,2026-S1,EQ-PUMP-001|2026-01-10T02:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-10 08:00:00+00:00,vibration_mm_s,3.35,mm/s,2026-S1,EQ-PUMP-001|2026-01-10T08:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-10 14:00:00+00:00,vibration_mm_s,2.8,mm/s,2026-S1,EQ-PUMP-001|2026-01-10T14:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-10 20:00:00+00:00,vibration_mm_s,2.45,mm/s,2026-S1,EQ-PUMP-001|2026-01-10T20:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-11 02:00:00+00:00,vibration_mm_s,3.17,mm/s,2026-S1,EQ-PUMP-001|2026-01-11T02:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-11 08:00:00+00:00,vibration_mm_s,3.28,mm/s,2026-S1,EQ-PUMP-001|2026-01-11T08:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-11 14:00:00+00:00,vibration_mm_s,2.37,mm/s,2026-S1,EQ-PUMP-001|2026-01-11T14:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-11 20:00:00+00:00,vibration_mm_s,2.79,mm/s,2026-S1,EQ-PUMP-001|2026-01-11T20:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-12 02:00:00+00:00,vibration_mm_s,2.72,mm/s,2026-S1,EQ-PUMP-001|2026-01-12T02:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-12 08:00:00+00:00,vibration_mm_s,3.13,mm/s,2026-S1,EQ-PUMP-001|2026-01-12T08:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-12 14:00:00+00:00,vibration_mm_s,3.48,mm/s,2026-S1,EQ-PUMP-001|2026-01-12T14:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-12 20:00:00+00:00,vibration_mm_s,2.81,mm/s,2026-S1,EQ-PUMP-001|2026-01-12T20:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-13 02:00:00+00:00,vibration_mm_s,3.13,mm/s,2026-S1,EQ-PUMP-001|2026-01-13T02:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-13 08:00:00+00:00,vibration_mm_s,3.61,mm/s,2026-S1,EQ-PUMP-001|2026-01-13T08:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-13 14:00:00+00:00,vibration_mm_s,2.65,mm/s,2026-S1,EQ-PUMP-001|2026-01-13T14:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-13 20:00:00+00:00,vibration_mm_s,2.76,mm/s,2026-S1,EQ-PUMP-001|2026-01-13T20:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-14 02:00:00+00:00,vibration_mm_s,3.18,mm/s,2026-S1,EQ-PUMP-001|2026-01-14T02:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-14 08:00:00+00:00,vibration_mm_s,3.33,mm/s,2026-S1,EQ-PUMP-001|2026-01-14T08:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-14 14:00:00+00:00,vibration_mm_s,3.07,mm/s,2026-S1,EQ-PUMP-001|2026-01-14T14:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-14 20:00:00+00:00,vibration_mm_s,2.62,mm/s,2026-S1,EQ-PUMP-001|2026-01-14T20:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-15 02:00:00+00:00,vibration_mm_s,2.7,mm/s,2026-S1,EQ-PUMP-001|2026-01-15T02:00:00Z|vibration_mm_s
