equipment_id,timestamp,sensor_name,value,unit,period,row_identifier
EQ-PUMP-001,2025-12-29 12:00:00+00:00,vibration_mm_s,2.71,mm/s,2026-S1,EQ-PUMP-001|2025-12-29T12:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-01 23:43:45+00:00,vibration_mm_s,2.93,mm/s,2026-S1,EQ-PUMP-001|2026-01-02T02:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-02 05:43:03+00:00,vibration_mm_s,2.85,mm/s,2026-S1,EQ-PUMP-001|2026-01-02T08:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-02 11:27:38+00:00,vibration_mm_s,2.64,mm/s,2026-S1,EQ-PUMP-001|2026-01-02T14:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-02 16:35:07+00:00,vibration_mm_s,2.48,mm/s,2026-S1,EQ-PUMP-001|2026-01-02T20:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-02 22:00:38+00:00,vibration_mm_s,2.43,mm/s,2026-S1,EQ-PUMP-001|2026-01-03T02:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-03 05:12:16+00:00,vibration_mm_s,3.2,mm/s,2026-S1,EQ-PUMP-001|2026-01-03T08:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-03 11:52:09+00:00,vibration_mm_s,2.49,mm/s,2026-S1,EQ-PUMP-001|2026-01-03T14:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-03 16:46:53+00:00,vibration_mm_s,2.13,mm/s,2026-S1,EQ-PUMP-001|2026-01-03T20:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-03 22:27:50+00:00,vibration_mm_s,2.79,mm/s,2026-S1,EQ-PUMP-001|2026-01-04T02:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-04 04:15:45+00:00,vibration_mm_s,3.13,mm/s,2026-S1,EQ-PUMP-001|2026-01-04T08:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-04 10:27:17+00:00,vibration_mm_s,2.45,mm/s,2026-S1,EQ-PUMP-001|2026-01-04T14:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-04 17:35:26+00:00,vibration_mm_s,2.51,mm/s,2026-S1,EQ-PUMP-001|2026-01-04T20:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-05 00:36:17+00:00,vibration_mm_s,3.05,mm/s,2026-S1,EQ-PUMP-001|2026-01-05T02:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-05 05:45:27+00:00,vibration_mm_s,3.36,mm/s,2026-S1,EQ-PUMP-001|2026-01-05T08:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-05 11:03:05+00:00,vibration_mm_s,2.98,mm/s,2026-S1,EQ-PUMP-001|2026-01-05T14:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-05 15:47:05+00:00,vibration_mm_s,2.5,mm/s,2026-S1,EQ-PUMP-001|2026-01-05T20:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-05 22:49:08+00:00,vibration_mm_s,3.08,mm/s,2026-S1,EQ-PUMP-001|2026-01-06T02:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-06 05:46:43+00:00,vibration_mm_s,3.3,mm/s,2026-S1,EQ-PUMP-001|2026-01-06T08:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-06 11:00:45+00:00,vibration_mm_s,3.28,mm/s,2026-S1,EQ-PUMP-001|2026-01-06T14:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-06 17:05:29+00:00,vibration_mm_s,2.53,mm/s,2026-S1,EQ-PUMP-001|2026-01-06T20:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-06 22:07:34+00:00,vibration_mm_s,2.85,mm/s,2026-S1,EQ-PUMP-001|2026-01-07T02:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-07 03:04:12+00:00,vibration_mm_s,2.74,mm/s,2026-S1,EQ-PUMP-001|2026-01-07T08:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-07 09:49:29+00:00,vibration_mm_s,2.72,mm/s,2026-S1,EQ-PUMP-001|2026-01-07T14:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-07 16:36:46+00:00,vibration_mm_s,2.76,mm/s,2026-S1,EQ-PUMP-001|2026-01-07T20:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-07 21:30:00+00:00,vibration_mm_s,2.52,mm/s,2026-S1,EQ-PUMP-001|2026-01-08T02:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-08 04:27:41+00:00,vibration_mm_s,3.47,mm/s,2026-S1,EQ-PUMP-001|2026-01-08T08:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-08 09:15:06+00:00,vibration_mm_s,3.09,mm/s,2026-S1,EQ-PUMP-001|2026-01-08T14:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-08 14:39:16+00:00,vibration_mm_s,1.92,mm/s,2026-S1,EQ-PUMP-001|2026-01-08T20:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-08 21:41:21+00:00,vibration_mm_s,3.17,mm/s,2026-S1,EQ-PUMP-001|2026-01-09T02:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-09 03:05:09+00:00,vibration_mm_s,3.28,mm/s,2026-S1,EQ-PUMP-001|2026-01-09T08:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-09 09:30:05+00:00,vibration_mm_s,2.83,mm/s,2026-S1,EQ-PUMP-001|2026-01-09T14:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-09 14:36:09+00:00,vibration_mm_s,2.74,mm/s,2026-S1,EQ-PUMP-001|2026-01-09T20:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-09 19:55:59+00:00,vibration_mm_s,3.22,mm/s,2026-S1,EQ-PUMP-001|2026-01-10T02:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-10 03:10:14+00:00,vibration_mm_s,3.36,mm/s,2026-S1,EQ-PUMP-001|2026-01-10T08:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-10 10:26:52+00:00,vibration_mm_s,2.8,mm/s,2026-S1,EQ-PUMP-001|2026-01-10T14:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-10 16:42:21+00:00,vibration_mm_s,2.44,mm/s,2026-S1,EQ-PUMP-001|2026-01-10T20:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-10 22:11:36+00:00,vibration_mm_s,3.17,mm/s,2026-S1,EQ-PUMP-001|2026-01-11T02:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-11 03:49:52+00:00,vibration_mm_s,3.27,mm/s,2026-S1,EQ-PUMP-001|2026-01-11T08:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-11 09:06:18+00:00,vibration_mm_s,2.37,mm/s,2026-S1,EQ-PUMP-001|2026-01-11T14:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-11 16:09:25+00:00,vibration_mm_s,2.8,mm/s,2026-S1,EQ-PUMP-001|2026-01-11T20:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-11 22:41:52+00:00,vibration_mm_s,2.72,mm/s,2026-S1,EQ-PUMP-001|2026-01-12T02:00:00Z|vibration_mm_s
EQ-PUMP-001,2026-01-12 04:18:37+00:00,vibration_mm_s,3.14,mm/s,2026-S1,EQ-PUMP-001|2026-01-12T08:00:00Z|vibration_mm_s
