equipment_id,timestamp,sensor_name,value,unit,period,cle_logique,nature
EQ-CAB-134,2026-05-02T06:00:00Z,current_a,23.18,A,2026-S1,EQ-CAB-134|2026-05-02T06:00:00Z|current_a,doublon_strict
EQ-CAB-134,2026-05-02T06:00:00Z,current_a,23.18,A,2026-S1,EQ-CAB-134|2026-05-02T06:00:00Z|current_a,doublon_strict
EQ-CHILL-115,2026-03-13T18:00:00Z,temperature_c,66.45,°C,2026-S1,EQ-CHILL-115|2026-03-13T18:00:00Z|temperature_c,valeur_divergente
EQ-CHILL-115,2026-03-13T18:00:00Z,temperature_c,55.72,°C,2026-S1,EQ-CHILL-115|2026-03-13T18:00:00Z|temperature_c,valeur_divergente
EQ-CHILL-168,2026-03-04T18:00:00Z,pressure_bar,7.43,bar,2026-S1,EQ-CHILL-168|2026-03-04T18:00:00Z|pressure_bar,doublon_strict
EQ-CHILL-168,2026-03-04T18:00:00Z,pressure_bar,7.43,bar,2026-S1,EQ-CHILL-168|2026-03-04T18:00:00Z|pressure_bar,doublon_strict
EQ-COMP-233,2026-02-23T18:00:00Z,pressure_bar,6.52,bar,2026-S1,EQ-COMP-233|2026-02-23T18:00:00Z|pressure_bar,doublon_strict
EQ-COMP-233,2026-02-23T18:00:00Z,pressure_bar,6.52,bar,2026-S1,EQ-COMP-233|2026-02-23T18:00:00Z|pressure_bar,doublon_strict
EQ-COMP-396,2026-06-18T06:00:00Z,pressure_bar,6.29,bar,2026-S1,EQ-COMP-396|2026-06-18T06:00:00Z|pressure_bar,valeur_divergente
EQ-COMP-396,2026-06-18T06:00:00Z,pressure_bar,8.12,bar,2026-S1,EQ-COMP-396|2026-06-18T06:00:00Z|pressure_bar,valeur_divergente
EQ-CONV-262,2026-02-24T06:00:00Z,current_a,26.96,A,2026-S1,EQ-CONV-262|2026-02-24T06:00:00Z|current_a,doublon_strict
EQ-CONV-262,2026-02-24T06:00:00Z,current_a,26.96,A,2026-S1,EQ-CONV-262|2026-02-24T06:00:00Z|current_a,doublon_strict
EQ-MIX-379,2026-04-22T18:00:00Z,current_a,23.82,A,2026-S1,EQ-MIX-379|2026-04-22T18:00:00Z|current_a,doublon_strict
EQ-MIX-379,2026-04-22T18:00:00Z,current_a,23.82,A,2026-S1,EQ-MIX-379|2026-04-22T18:00:00Z|current_a,doublon_strict
EQ-OVEN-366,2026-02-26T06:00:00Z,temperature_c,47.6,°C,2026-S1,EQ-OVEN-366|2026-02-26T06:00:00Z|temperature_c,valeur_divergente
EQ-OVEN-366,2026-02-26T06:00:00Z,temperature_c,56.87,°C,2026-S1,EQ-OVEN-366|2026-02-26T06:00:00Z|temperature_c,valeur_divergente
EQ-PUMP-171,2026-02-17T18:00:00Z,temperature_c,70.79,°C,2026-S1,EQ-PUMP-171|2026-02-17T18:00:00Z|temperature_c,valeur_divergente
EQ-PUMP-171,2026-02-17T18:00:00Z,temperature_c,59.4,°C,2026-S1,EQ-PUMP-171|2026-02-17T18:00:00Z|temperature_c,valeur_divergente
EQ-PUMP-350,2026-04-12T06:00:00Z,vibration_mm_s,2.89,mm/s,2026-S1,EQ-PUMP-350|2026-04-12T06:00:00Z|vibration_mm_s,doublon_strict
EQ-PUMP-350,2026-04-12T06:00:00Z,vibration_mm_s,2.89,mm/s,2026-S1,EQ-PUMP-350|2026-04-12T06:00:00Z|vibration_mm_s,doublon_strict
