equipment_id,equipment_type,site_id,commissioning_date,criticality,manufacturer,rated_power_kw,instrumente
EQ-CAB-101,electrical_cabinet,SITE-SUD,2010-06-10,medium,Valcor,47.5,False
EQ-CAB-112,electrical_cabinet,SITE-EST,2024-09-03,low,Aster Industrie,61.2,False
EQ-CAB-123,electrical_cabinet,SITE-SUD,2006-12-27,low,Thermis,62.8,False
EQ-CAB-134,electrical_cabinet,SITE-NORD,2020-12-28,critical,Rotatek,34.0,True
EQ-CAB-145,electrical_cabinet,SITE-EST,2018-03-20,medium,MecaNova,56.2,False
EQ-CAB-206,electrical_cabinet,SITE-SUD,2015-08-05,critical,Rotatek,52.6,False
EQ-CAB-217,electrical_cabinet,SITE-SUD,2007-07-21,high,Valcor,40.5,False
EQ-CAB-228,electrical_cabinet,SITE-SUD,2022-01-15,low,Aster Industrie,38.1,False
EQ-CAB-239,pump,SITE-SUD,2008-06-18,medium,Thermis,44.5,False
EQ-CAB-250,electrical_cabinet,SITE-NORD,2011-12-08,critical,MecaNova,46.8,False
EQ-CHILL-001,chiller,SITE-NORD,2015-04-27,low,Rotatek,63.6,True
EQ-CHILL-002,chiller,SITE-NORD,2018-04-08,high,Rotatek,52.6,False
EQ-CHILL-104,chiller,SITE-SUD,2019-10-18,medium,Rotatek,56.5,False
EQ-CHILL-108,chiller,SITE-SUD,2014-09-12,critical,Aster Industrie,73.0,False
EQ-CHILL-115,chiller,SITE-SUD,2010-05-17,high,MecaNova,35.7,True
EQ-CHILL-128,chiller,SITE-NORD,2007-04-21,critical,Thermis,70.5,False
EQ-CHILL-148,chiller,SITE-EST,2017-01-29,medium,Aster Industrie,31.1,False
EQ-CHILL-168,chiller,SITE-NORD,2015-05-12,high,Aster Industrie,63.9,True
EQ-CHILL-188,chiller,SITE-EST,2022-07-06,high,Rotatek,58.9,True
EQ-CHILL-208,chiller,SITE-NORD,2020-07-01,medium,Rotatek,41.5,False
EQ-CHILL-228,chiller,SITE-EST,2022-07-02,high,Aster Industrie,62.3,False
EQ-CHILL-248,chiller,SITE-NORD,2010-06-29,critical,Rotatek,34.5,True
EQ-CHILL-268,chiller,SITE-SUD,2013-03-16,medium,MecaNova,66.4,False
EQ-CHILL-288,chiller,SITE-NORD,2007-09-26,medium,Aster Industrie,84.0,False
EQ-CHILL-308,chiller,SITE-SUD,2018-04-24,medium,Rotatek,64.5,False
EQ-CHILL-328,chiller,SITE-NORD,2021-12-02,high,Thermis,46.9,False
EQ-CHILL-348,chiller,SITE-NORD,2009-04-14,medium,MecaNova,52.5,False
EQ-CHILL-368,chiller,SITE-EST,2021-08-08,medium,Valcor,48.2,False
EQ-CHILL-371,chiller,SITE-EST,2019-04-18,medium,Thermis,72.7,False
EQ-CHILL-382,chiller,SITE-SUD,2019-01-20,high,MecaNova,38.6,False
EQ-CHILL-388,chiller,SITE-SUD,2008-04-22,medium,MecaNova,62.7,False
EQ-CHILL-393,chiller,SITE-SUD,2020-08-17,medium,MecaNova,67.2,False
EQ-COMP-001,compressor,SITE-EST,2014-02-05,medium,Rotatek,69.0,False
EQ-COMP-002,compressor,SITE-NORD,2007-12-31,high,MecaNova,93.2,True
EQ-COMP-003,compressor,SITE-NORD,2013-01-04,medium,Thermis,93.5,False
EQ-COMP-107,compressor,SITE-SUD,2007-11-25,medium,MecaNova,105.3,False
EQ-COMP-109,compressor,SITE-EST,2014-05-01,medium,Thermis,93.3,False
EQ-COMP-113,compressor,SITE-SUD,2016-03-01,critical,Aster Industrie,92.3,True
EQ-COMP-118,compressor,SITE-NORD,2023-10-30,high,Rotatek,80.5,False
EQ-COMP-129,compressor,SITE-SUD,2012-10-10,low,Valcor,97.2,False
EQ-COMP-133,compressor,SITE-SUD,2009-01-24,medium,MecaNova,84.7,False
EQ-COMP-140,compressor,SITE-OUEST,2007-05-06,critical,Rotatek,95.4,False
EQ-COMP-149,compressor,SITE-OUEST,2017-02-23,medium,Aster Industrie,77.7,False
EQ-COMP-153,compressor,SITE-SUD,2024-10-21,low,Aster Industrie,121.0,False
EQ-COMP-169,compressor,SITE-NORD,2015-05-11,high,Aster Industrie,,False
EQ-COMP-173,compressor,SITE-EST,2008-01-29,high,Rotatek,100.8,False
EQ-COMP-189,compressor,SITE-OUEST,2021-04-07,critical,MecaNova,105.9,False
EQ-COMP-193,compressor,SITE-SUD,2010-02-01,low,Valcor,83.1,False
EQ-COMP-209,compressor,SITE-EST,2012-10-11,critical,MecaNova,75.7,False
EQ-COMP-213,compressor,SITE-NORD,2022-02-28,high,Valcor,80.1,False
EQ-COMP-229,compressor,SITE-EST,2012-11-24,medium,Aster Industrie,77.8,False
EQ-COMP-233,compressor,SITE-NORD,2009-12-20,medium,Aster Industrie,118.6,True
EQ-COMP-249,compressor,SITE-NORD,2023-11-26,high,Thermis,77.1,True
EQ-COMP-253,compressor,SITE-EST,2022-07-26,high,MecaNova,101.8,False
EQ-COMP-269,compressor,SITE-SUD,2019-04-25,medium,Valcor,94.8,False
EQ-COMP-273,compressor,SITE-SUD,2022-02-11,low,MecaNova,102.3,False
EQ-COMP-289,compressor,SITE-NORD,2012-08-14,low,Thermis,60.9,False
EQ-COMP-293,compressor,SITE-SUD,2006-03-21,critical,Aster Industrie,119.9,False
EQ-COMP-309,compressor,SITE-NORD,2009-06-03,high,MecaNova,93.8,False
EQ-COMP-313,compressor,SITE-NORD,2012-11-09,medium,Rotatek,99.1,False
EQ-COMP-329,compressor,SITE-SUD,2022-05-10,medium,Aster Industrie,87.0,False
EQ-COMP-333,compressor,SITE-NORD,2022-07-14,low,Thermis,109.8,False
EQ-COMP-349,compressor,SITE-SUD,2016-04-26,high,MecaNova,83.2,False
EQ-COMP-353,compressor,SITE-NORD,2024-03-29,high,MecaNova,74.4,False
EQ-COMP-369,compressor,SITE-SUD,2011-06-13,medium,Rotatek,100.8,False
EQ-COMP-373,compressor,SITE-NORD,2009-04-22,high,Rotatek,101.6,False
EQ-COMP-389,compressor,SITE-NORD,2011-04-07,low,Thermis,79.6,False
EQ-COMP-393,compressor,SITE-EST,2020-12-05,medium,Rotatek,115.2,False
