equipment_id,sensor_name,measurements,first_seen,last_seen,unreadable_timestamps,missing_values,distinct_units,median_step_hours,max_step_hours
EQ-CAB-134,current_a,722,2025-12-28 06:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,114.0
EQ-CAB-134,temperature_c,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-CHILL-001,pressure_bar,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-CHILL-001,temperature_c,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-CHILL-115,pressure_bar,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-CHILL-115,temperature_c,721,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-CHILL-168,pressure_bar,721,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-CHILL-168,temperature_c,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-CHILL-188,pressure_bar,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-CHILL-188,temperature_c,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-CHILL-248,pressure_bar,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-CHILL-248,temperature_c,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-COMP-002,pressure_bar,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-COMP-002,temperature_c,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-COMP-113,pressure_bar,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-COMP-113,temperature_c,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
