equipment_id,equipment_type,site_id,criticality,criticite_ordinale,puissance_kw,age_annees,n_evenements,n_evenements_graves,n_interventions,indisponibilite_min,cout_pieces_eur,n_correctives,part_correctives,instrumente,segment
EQ-CAB-101,electrical_cabinet,SITE-SUD,medium,1.0,47.5,16.06,1.0,1.0,2.0,506.0,1637.01,1,0.5,False,SEG-2
EQ-CAB-112,electrical_cabinet,SITE-EST,low,0.0,61.2,1.82,1.0,1.0,3.0,857.0,1302.29,0,0.0,False,SEG-1
EQ-CAB-123,electrical_cabinet,SITE-SUD,low,0.0,62.8,19.51,1.0,1.0,6.0,1788.0,2287.8900000000003,2,0.3333,False,SEG-1
EQ-CAB-134,electrical_cabinet,SITE-NORD,critical,3.0,34.0,5.51,3.0,2.0,16.0,2541.0,4092.0000000000005,3,0.1875,True,SEG-1
EQ-CAB-145,electrical_cabinet,SITE-EST,medium,1.0,56.2,8.28,1.0,1.0,4.0,1144.0,1895.9999999999998,1,0.25,False,SEG-1
EQ-CAB-206,electrical_cabinet,SITE-SUD,critical,3.0,52.6,10.9,1.0,0.0,4.0,544.0,514.4,0,0.0,False,SEG-2
EQ-CAB-217,electrical_cabinet,SITE-SUD,high,2.0,40.5,18.95,0.0,0.0,0.0,0.0,0.0,0,0.0,False,SEG-INACTIF
EQ-CAB-228,electrical_cabinet,SITE-SUD,low,0.0,38.1,4.46,1.0,0.0,4.0,293.0,253.89000000000001,2,0.5,False,SEG-2
EQ-CAB-239,pump,SITE-SUD,medium,1.0,44.5,18.03,1.0,0.0,2.0,168.0,322.91,0,0.0,False,SEG-2
EQ-CAB-250,electrical_cabinet,SITE-NORD,critical,3.0,46.8,14.56,0.0,0.0,0.0,0.0,0.0,0,0.0,False,SEG-INACTIF
EQ-CHILL-001,chiller,SITE-NORD,low,0.0,63.6,11.18,2.0,1.0,9.0,1568.0,2358.67,1,0.1111,True,SEG-1
EQ-CHILL-002,chiller,SITE-NORD,high,2.0,52.6,8.23,1.0,0.0,3.0,321.0,614.73,1,0.3333,False,SEG-2
EQ-CHILL-104,chiller,SITE-SUD,medium,1.0,56.5,6.7,1.0,1.0,3.0,503.0,635.46,0,0.0,False,SEG-2
EQ-CHILL-108,chiller,SITE-SUD,critical,3.0,73.0,11.8,1.0,1.0,2.0,411.0,162.36,0,0.0,False,SEG-2
EQ-CHILL-115,chiller,SITE-SUD,high,2.0,35.7,16.12,2.0,2.0,4.0,633.0,1071.75,0,0.0,True,SEG-1
EQ-CHILL-128,chiller,SITE-NORD,critical,3.0,70.5,19.2,1.0,1.0,3.0,551.0,635.9399999999999,1,0.3333,False,SEG-2
EQ-CHILL-148,chiller,SITE-EST,medium,1.0,31.1,9.42,0.0,0.0,0.0,0.0,0.0,0,0.0,False,SEG-INACTIF
EQ-CHILL-168,chiller,SITE-NORD,high,2.0,63.9,11.14,3.0,3.0,9.0,1633.0,3443.34,1,0.1111,True,SEG-1
EQ-CHILL-188,chiller,SITE-EST,high,2.0,58.9,3.99,2.0,2.0,6.0,1111.0,1210.6599999999999,1,0.1667,True,SEG-1
EQ-CHILL-208,chiller,SITE-NORD,medium,1.0,41.5,6.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False,SEG-INACTIF
EQ-CHILL-228,chiller,SITE-EST,high,2.0,62.3,4.0,1.0,1.0,3.0,618.0,696.65,0,0.0,False,SEG-2
EQ-CHILL-248,chiller,SITE-NORD,critical,3.0,34.5,16.01,2.0,2.0,3.0,516.0,525.37,1,0.3333,True,SEG-1
