segment,variable,modalite,equipements,part_du_segment_pct
SEG-1,criticality,critical,21,10.94
SEG-1,criticality,high,59,30.73
SEG-1,criticality,low,32,16.67
SEG-1,criticality,medium,80,41.67
SEG-2,criticality,critical,21,12.07
SEG-2,criticality,high,49,28.16
SEG-2,criticality,low,33,18.97
SEG-2,criticality,medium,71,40.8
SEG-INACTIF,criticality,critical,4,8.0
SEG-INACTIF,criticality,high,14,28.0
SEG-INACTIF,criticality,low,10,20.0
SEG-INACTIF,criticality,medium,22,44.0
SEG-1,site_id,SITE-EST,47,24.48
SEG-1,site_id,SITE-NORD,85,44.27
SEG-1,site_id,SITE-OUEST,6,3.12
SEG-1,site_id,SITE-SUD,54,28.12
SEG-2,site_id,SITE-EST,30,17.24
SEG-2,site_id,SITE-NORD,71,40.8
SEG-2,site_id,SITE-OUEST,8,4.6
SEG-2,site_id,SITE-SUD,65,37.36
SEG-INACTIF,site_id,SITE-EST,14,28.0
SEG-INACTIF,site_id,SITE-NORD,17,34.0
SEG-INACTIF,site_id,SITE-OUEST,2,4.0
SEG-INACTIF,site_id,SITE-SUD,17,34.0
