site_id,criticality,effectif,effectif_total,cout_moyen,cout_moyen_borne,biais_troncature,sensibilite_somme
SITE-EST,critical,44,44,249.68,242.33,-7.35,750.0
SITE-EST,high,85,85,232.29,232.29,0.0,750.0
SITE-EST,low,83,83,220.99,215.87,-5.12,750.0
SITE-EST,medium,147,147,252.75,250.79,-1.96,750.0
SITE-NORD,critical,109,109,204.25,203.01,-1.24,750.0
SITE-NORD,high,284,284,239.43,236.04,-3.39,750.0
SITE-NORD,low,95,96,194.88,194.88,0.0,750.0
SITE-NORD,medium,319,319,191.4,190.52,-0.87,750.0
SITE-OUEST,critical,4,9,264.32,264.32,0.0,750.0
SITE-OUEST,high,14,20,81.9,81.9,0.0,750.0
SITE-OUEST,low,4,6,219.18,219.18,0.0,750.0
SITE-OUEST,medium,27,41,223.5,223.5,0.0,750.0
SITE-SUD,critical,52,52,211.36,209.72,-1.64,750.0
SITE-SUD,high,153,153,216.29,213.65,-2.64,750.0
SITE-SUD,low,110,110,260.44,258.31,-2.13,750.0
SITE-SUD,medium,230,230,210.06,208.75,-1.31,750.0
