site_id,criticality,effectif,cout_moyen_borne,epsilon,echelle_bruit_somme,erreur_absolue_mediane,erreur_relative_mediane,intervalle_5_95,part_hors_plage,part_conclusion_conservee
SITE-EST,critical,44,242.33,0.1,15000.0,263.4,1.0869,"[-657.57, 6521.09]",0.421,0.5275
SITE-EST,critical,44,242.33,0.5,3000.0,52.64,0.2172,"[91.11, 413.41]",0.016,0.647
SITE-EST,critical,44,242.33,1.0,1500.0,26.17,0.108,"[164.22, 323.26]",0.0005,0.7495
SITE-EST,critical,44,242.33,2.0,750.0,13.35,0.0551,"[199.91, 282.63]",0.0,0.864
SITE-EST,critical,44,242.33,5.0,300.0,5.49,0.0227,"[226.13, 258.65]",0.0,0.9835
SITE-EST,critical,44,242.33,10.0,150.0,2.6,0.0107,"[234.28, 250.18]",0.0,1.0
SITE-EST,critical,44,242.33,20.0,75.0,1.34,0.0055,"[238.33, 246.38]",0.0,1.0
SITE-EST,critical,44,242.33,50.0,30.0,0.56,0.0023,"[240.74, 243.9]",0.0,1.0
SITE-EST,high,85,232.29,0.1,15000.0,139.63,0.6011,"[-155.27, 905.21]",0.199,0.543
SITE-EST,high,85,232.29,0.5,3000.0,26.68,0.1149,"[148.37, 319.17]",0.0,0.653
SITE-EST,high,85,232.29,1.0,1500.0,13.59,0.0585,"[187.94, 273.27]",0.0,0.753
SITE-EST,high,85,232.29,2.0,750.0,7.16,0.0308,"[209.57, 254.39]",0.0,0.8915
SITE-EST,high,85,232.29,5.0,300.0,2.72,0.0117,"[224.28, 240.41]",0.0,0.9945
SITE-EST,high,85,232.29,10.0,150.0,1.33,0.0057,"[227.71, 236.45]",0.0,0.9995
SITE-EST,high,85,232.29,20.0,75.0,0.68,0.0029,"[230.12, 234.37]",0.0,1.0
SITE-EST,high,85,232.29,50.0,30.0,0.27,0.0012,"[231.44, 233.09]",0.0,1.0
SITE-EST,low,83,215.87,0.1,15000.0,139.48,0.6461,"[-177.68, 879.22]",0.2115,0.499
SITE-EST,low,83,215.87,0.5,3000.0,27.46,0.1272,"[135.93, 305.13]",0.0005,0.493
SITE-EST,low,83,215.87,1.0,1500.0,14.18,0.0657,"[174.0, 258.3]",0.0,0.548
SITE-EST,low,83,215.87,2.0,750.0,6.89,0.0319,"[194.61, 237.92]",0.0,0.5665
SITE-EST,low,83,215.87,5.0,300.0,2.71,0.0125,"[207.61, 224.82]",0.0,0.669
SITE-EST,low,83,215.87,10.0,150.0,1.39,0.0064,"[211.48, 220.25]",0.0,0.776
SITE-EST,low,83,215.87,20.0,75.0,0.7,0.0032,"[213.69, 218.01]",0.0,0.912
SITE-EST,low,83,215.87,50.0,30.0,0.28,0.0013,"[215.0, 216.76]",0.0,0.993
SITE-EST,medium,147,250.79,0.1,15000.0,82.6,0.3294,"[4.46, 527.39]",0.0595,0.6075
SITE-EST,medium,147,250.79,0.5,3000.0,16.67,0.0665,"[200.83, 295.87]",0.0,0.894
SITE-EST,medium,147,250.79,1.0,1500.0,7.83,0.0312,"[225.55, 275.71]",0.0,0.976
SITE-EST,medium,147,250.79,2.0,750.0,4.05,0.0162,"[238.08, 263.32]",0.0,0.9995
SITE-EST,medium,147,250.79,5.0,300.0,1.63,0.0065,"[245.36, 255.86]",0.0,1.0
SITE-EST,medium,147,250.79,10.0,150.0,0.83,0.0033,"[248.31, 253.29]",0.0,1.0
SITE-EST,medium,147,250.79,20.0,75.0,0.4,0.0016,"[249.63, 252.07]",0.0,1.0
SITE-EST,medium,147,250.79,50.0,30.0,0.17,0.0007,"[250.25, 251.29]",0.0,1.0
SITE-NORD,critical,109,203.01,0.1,15000.0,107.8,0.531,"[-94.12, 617.42]",0.139,0.513
SITE-NORD,critical,109,203.01,0.5,3000.0,20.9,0.1029,"[139.75, 275.07]",0.0005,0.6835
SITE-NORD,critical,109,203.01,1.0,1500.0,10.18,0.0501,"[170.37, 236.17]",0.0,0.8135
SITE-NORD,critical,109,203.01,2.0,750.0,5.23,0.0257,"[186.65, 218.95]",0.0,0.935
SITE-NORD,critical,109,203.01,5.0,300.0,2.19,0.0108,"[196.38, 210.1]",0.0,0.997
SITE-NORD,critical,109,203.01,10.0,150.0,1.06,0.0052,"[199.99, 206.35]",0.0,1.0
SITE-NORD,critical,109,203.01,20.0,75.0,0.51,0.0025,"[201.42, 204.61]",0.0,1.0
SITE-NORD,critical,109,203.01,50.0,30.0,0.21,0.001,"[202.33, 203.64]",0.0,1.0
SITE-NORD,high,284,236.04,0.1,15000.0,41.23,0.1747,"[110.37, 373.27]",0.005,0.608
SITE-NORD,high,284,236.04,0.5,3000.0,8.46,0.0359,"[211.14, 262.59]",0.0,0.9025
SITE-NORD,high,284,236.04,1.0,1500.0,4.08,0.0173,"[222.91, 248.89]",0.0,0.977
SITE-NORD,high,284,236.04,2.0,750.0,2.0,0.0085,"[229.9, 242.19]",0.0,0.9995
SITE-NORD,high,284,236.04,5.0,300.0,0.85,0.0036,"[233.65, 238.67]",0.0,1.0
