plafond,site_id,criticality,effectif,biais_troncature,erreur_absolue_mediane,erreur_totale,part_conclusion_conservee
1128.0,SITE-EST,critical,44,0.0,37.8,37.8,0.7145
1128.0,SITE-EST,high,85,0.0,19.97,19.97,0.6875
1128.0,SITE-EST,low,83,0.0,19.54,19.54,0.5135
1128.0,SITE-EST,medium,147,0.0,10.66,10.66,0.9425
1128.0,SITE-NORD,critical,109,0.0,14.71,14.71,0.7505
1128.0,SITE-NORD,high,284,0.0,5.82,5.82,0.954
1128.0,SITE-NORD,low,95,0.0,16.84,16.84,0.822
1128.0,SITE-NORD,medium,319,0.0,4.88,4.88,0.993
1128.0,SITE-OUEST,critical,4,0.0,418.18,418.18,0.5145
1128.0,SITE-OUEST,high,14,0.0,117.21,117.21,0.7685
1128.0,SITE-OUEST,low,4,0.0,416.12,416.12,0.521
1128.0,SITE-OUEST,medium,27,0.0,61.73,61.73,0.527
1128.0,SITE-SUD,critical,52,0.0,30.0,30.0,0.578
1128.0,SITE-SUD,high,153,0.0,10.93,10.93,0.6065
1128.0,SITE-SUD,low,110,0.0,15.43,15.43,0.9155
1128.0,SITE-SUD,medium,230,0.0,7.28,7.28,0.7995
750.0,SITE-EST,critical,44,-7.35,26.3,33.65,0.749
750.0,SITE-EST,high,85,0.0,14.06,14.06,0.761
750.0,SITE-EST,low,83,-5.12,13.55,18.67,0.542
750.0,SITE-EST,medium,147,-1.96,7.57,9.53,0.9795
750.0,SITE-NORD,critical,109,-1.24,10.27,11.51,0.8135
750.0,SITE-NORD,high,284,-3.39,4.04,7.43,0.98
750.0,SITE-NORD,low,95,0.0,11.77,11.77,0.8755
750.0,SITE-NORD,medium,319,-0.87,3.39,4.26,0.999
750.0,SITE-OUEST,critical,4,0.0,293.88,293.88,0.53
750.0,SITE-OUEST,high,14,0.0,78.9,78.9,0.836
750.0,SITE-OUEST,low,4,0.0,286.48,286.48,0.4795
750.0,SITE-OUEST,medium,27,0.0,43.14,43.14,0.545
750.0,SITE-SUD,critical,52,-1.64,21.04,22.68,0.605
750.0,SITE-SUD,high,153,-2.64,7.56,10.2,0.6575
750.0,SITE-SUD,low,110,-2.13,11.09,13.22,0.965
750.0,SITE-SUD,medium,230,-1.31,5.09,6.4,0.86
500.0,SITE-EST,critical,44,-30.31,18.98,49.29,0.703
500.0,SITE-EST,high,85,-10.88,10.32,21.2,0.8465
500.0,SITE-EST,low,83,-28.93,9.72,38.65,0.8155
500.0,SITE-EST,medium,147,-14.79,5.59,20.38,0.996
500.0,SITE-NORD,critical,109,-8.62,7.51,16.13,0.804
500.0,SITE-NORD,high,284,-20.25,2.98,23.23,0.984
500.0,SITE-NORD,low,95,-7.34,8.43,15.77,0.9005
500.0,SITE-NORD,medium,319,-8.7,2.36,11.06,1.0
500.0,SITE-OUEST,critical,4,0.0,213.94,213.94,0.553
500.0,SITE-OUEST,high,14,0.0,54.13,54.13,0.8845
500.0,SITE-OUEST,low,4,-20.51,198.06,218.57,0.535
500.0,SITE-OUEST,medium,27,-10.11,30.15,40.26,0.579
500.0,SITE-SUD,critical,52,-15.04,15.03,30.07,0.6615
500.0,SITE-SUD,high,153,-16.19,5.21,21.4,0.751
500.0,SITE-SUD,low,110,-15.93,8.03,23.96,0.988
500.0,SITE-SUD,medium,230,-11.56,3.62,15.18,0.875
