maille,cellule,effectif,epsilon,erreur_absolue_mediane,part_conclusion_conservee
site × criticité,SITE-EST / critical,44,0.1,288.75,0.54
site × criticité,SITE-EST / critical,44,0.5,53.26,0.627
site × criticité,SITE-EST / critical,44,1.0,26.2,0.7445
site × criticité,SITE-EST / critical,44,2.0,13.64,0.8815
site × criticité,SITE-EST / critical,44,5.0,5.14,0.986
site × criticité,SITE-EST / critical,44,10.0,2.6,1.0
site × criticité,SITE-EST / critical,44,20.0,1.31,1.0
site × criticité,SITE-EST / critical,44,50.0,0.54,1.0
site × criticité,SITE-EST / high,85,0.1,138.75,0.5215
site × criticité,SITE-EST / high,85,0.5,27.49,0.652
site × criticité,SITE-EST / high,85,1.0,13.47,0.76
site × criticité,SITE-EST / high,85,2.0,6.66,0.8975
site × criticité,SITE-EST / high,85,5.0,2.84,0.991
site × criticité,SITE-EST / high,85,10.0,1.4,1.0
site × criticité,SITE-EST / high,85,20.0,0.69,1.0
site × criticité,SITE-EST / high,85,50.0,0.26,1.0
site × criticité,SITE-EST / low,83,0.1,149.79,0.496
site × criticité,SITE-EST / low,83,0.5,27.95,0.5215
site × criticité,SITE-EST / low,83,1.0,14.19,0.555
site × criticité,SITE-EST / low,83,2.0,7.14,0.5485
site × criticité,SITE-EST / low,83,5.0,2.75,0.6495
site × criticité,SITE-EST / low,83,10.0,1.37,0.7815
site × criticité,SITE-EST / low,83,20.0,0.71,0.915
site × criticité,SITE-EST / low,83,50.0,0.27,0.9935
site × criticité,SITE-EST / medium,147,0.1,73.78,0.6345
site × criticité,SITE-EST / medium,147,0.5,15.9,0.889
site × criticité,SITE-EST / medium,147,1.0,7.32,0.98
site × criticité,SITE-EST / medium,147,2.0,4.35,0.9995
site × criticité,SITE-EST / medium,147,5.0,1.53,1.0
site × criticité,SITE-EST / medium,147,10.0,0.83,1.0
site × criticité,SITE-EST / medium,147,20.0,0.4,1.0
site × criticité,SITE-EST / medium,147,50.0,0.15,1.0
site × criticité,SITE-NORD / critical,109,0.1,104.9,0.5335
site × criticité,SITE-NORD / critical,109,0.5,21.07,0.683
site × criticité,SITE-NORD / critical,109,1.0,10.38,0.809
site × criticité,SITE-NORD / critical,109,2.0,5.54,0.9195
site × criticité,SITE-NORD / critical,109,5.0,2.04,0.9985
site × criticité,SITE-NORD / critical,109,10.0,1.0,1.0
site × criticité,SITE-NORD / critical,109,20.0,0.54,1.0
site × criticité,SITE-NORD / critical,109,50.0,0.21,1.0
site × criticité,SITE-NORD / high,284,0.1,41.12,0.618
site × criticité,SITE-NORD / high,284,0.5,7.88,0.908
site × criticité,SITE-NORD / high,284,1.0,4.11,0.9835
site × criticité,SITE-NORD / high,284,2.0,2.07,1.0
site × criticité,SITE-NORD / high,284,5.0,0.83,1.0
site × criticité,SITE-NORD / high,284,10.0,0.4,1.0
site × criticité,SITE-NORD / high,284,20.0,0.21,1.0
