equipment_id,timestamp,sensor_name,value,unit,period,provenance,procedure_id
EQ-CAB-134,2026-01-02 00:00:00+00:00,temperature_c,60.13,°C,2026-S1,réelle,
EQ-CHILL-001,2026-01-02 00:00:00+00:00,temperature_c,56.39,°C,2026-S1,réelle,
EQ-CHILL-115,2026-01-02 00:00:00+00:00,temperature_c,56.88,°C,2026-S1,réelle,
EQ-CHILL-168,2026-01-02 00:00:00+00:00,temperature_c,61.63,°C,2026-S1,réelle,
EQ-CHILL-188,2026-01-02 00:00:00+00:00,temperature_c,62.48,°C,2026-S1,réelle,
EQ-CHILL-248,2026-01-02 00:00:00+00:00,temperature_c,52.61,°C,2026-S1,réelle,
EQ-COMP-002,2026-01-02 00:00:00+00:00,temperature_c,63.05,°C,2026-S1,réelle,
EQ-COMP-113,2026-01-02 00:00:00+00:00,temperature_c,65.66,°C,2026-S1,réelle,
EQ-COMP-233,2026-01-02 00:00:00+00:00,temperature_c,64.47,°C,2026-S1,réelle,
EQ-FAN-002,2026-01-02 00:00:00+00:00,vibration_mm_s,2.65,mm/s,2026-S1,réelle,
EQ-FAN-003,2026-01-02 00:00:00+00:00,vibration_mm_s,2.69,mm/s,2026-S1,réelle,
EQ-FAN-204,2026-01-02 00:00:00+00:00,vibration_mm_s,2.45,mm/s,2026-S1,réelle,
EQ-FAN-284,2026-01-02 00:00:00+00:00,vibration_mm_s,2.26,mm/s,2026-S1,réelle,
EQ-FAN-304,2026-01-02 00:00:00+00:00,vibration_mm_s,2.12,mm/s,2026-S1,réelle,
EQ-MIX-159,2026-01-02 00:00:00+00:00,vibration_mm_s,2.48,mm/s,2026-S1,réelle,
EQ-MIX-259,2026-01-02 00:00:00+00:00,vibration_mm_s,1.77,mm/s,2026-S1,réelle,
EQ-MIX-379,2026-01-02 00:00:00+00:00,vibration_mm_s,3.56,mm/s,2026-S1,réelle,
EQ-OVEN-001,2026-01-02 00:00:00+00:00,temperature_c,56.06,°C,2026-S1,réelle,
EQ-OVEN-123,2026-01-02 00:00:00+00:00,temperature_c,59.57,°C,2026-S1,réelle,
EQ-OVEN-223,2026-01-02 00:00:00+00:00,temperature_c,59.06,°C,2026-S1,réelle,
EQ-OVEN-366,2026-01-02 00:00:00+00:00,temperature_c,49.99,°C,2026-S1,réelle,
EQ-OVEN-386,2026-01-02 00:00:00+00:00,temperature_c,58.0,°C,2026-S1,réelle,
EQ-PUMP-001,2026-01-02 00:00:00+00:00,temperature_c,59.56,°C,2026-S1,réelle,
EQ-PUMP-006,2026-01-02 00:00:00+00:00,temperature_c,51.23,°C,2026-S1,réelle,
EQ-PUMP-006,2026-01-02 00:00:00+00:00,vibration_mm_s,3.07,mm/s,2026-S1,réelle,
EQ-PUMP-171,2026-01-02 00:00:00+00:00,temperature_c,66.83,°C,2026-S1,réelle,
EQ-PUMP-171,2026-01-02 00:00:00+00:00,vibration_mm_s,2.84,mm/s,2026-S1,réelle,
EQ-PUMP-350,2026-01-02 00:00:00+00:00,temperature_c,60.4,°C,2026-S1,réelle,
EQ-PUMP-350,2026-01-02 00:00:00+00:00,vibration_mm_s,3.15,mm/s,2026-S1,réelle,
EQ-ROBOT-358,2026-01-02 00:00:00+00:00,vibration_mm_s,2.7,mm/s,2026-S1,réelle,
EQ-SENSOR-305,2026-01-02 00:00:00+00:00,temperature_c,56.52,°C,2026-S1,réelle,
EQ-STEAM-341,2026-01-02 00:00:00+00:00,temperature_c,51.9,°C,2026-S1,réelle,
EQ-STEAM-352,2026-01-02 00:00:00+00:00,temperature_c,63.77,°C,2026-S1,réelle,
EQ-PUMP-001,2026-01-02 02:00:00+00:00,vibration_mm_s,2.93,mm/s,2026-S1,réelle,
EQ-CAB-134,2026-01-02 06:00:00+00:00,temperature_c,55.7,°C,2026-S1,réelle,
EQ-CHILL-001,2026-01-02 06:00:00+00:00,temperature_c,66.35,°C,2026-S1,réelle,
EQ-CHILL-115,2026-01-02 06:00:00+00:00,temperature_c,64.11,°C,2026-S1,réelle,
EQ-CHILL-168,2026-01-02 06:00:00+00:00,temperature_c,57.04,°C,2026-S1,réelle,
EQ-CHILL-188,2026-01-02 06:00:00+00:00,temperature_c,57.71,°C,2026-S1,réelle,
EQ-CHILL-248,2026-01-02 06:00:00+00:00,temperature_c,49.21,°C,2026-S1,réelle,
EQ-COMP-002,2026-01-02 06:00:00+00:00,temperature_c,62.0,°C,2026-S1,réelle,
EQ-COMP-113,2026-01-02 06:00:00+00:00,temperature_c,63.62,°C,2026-S1,réelle,
