bloc_id,equipment_id,capteur,lignes,debut,fin,part_retrouvee,lignes_greffees,autocorrelation_cycle,part_pas_irregulier,ecart_niveau_sigma,ratio_dispersion,verdict,regle_decisive,corroborations
EQ-CAB-134|current_a|0,EQ-CAB-134,current_a,30,2026-03-02 18:00:00+00:00,2026-03-10 00:00:00+00:00,1.0,1,0.6508,0.0,0.159,0.887,réelle,R-DET-001,
EQ-CAB-134|current_a|1,EQ-CAB-134,current_a,30,2026-03-10 06:00:00+00:00,2026-03-17 12:00:00+00:00,1.0,0,0.6008,0.0,0.046,0.956,réelle,R-DET-001,
EQ-CAB-134|current_a|2,EQ-CAB-134,current_a,30,2026-05-16 12:00:00+00:00,2026-05-23 18:00:00+00:00,1.0,1,0.6301,0.0,0.129,0.918,réelle,R-DET-001,
EQ-CAB-134|temperature_c|0,EQ-CAB-134,temperature_c,30,2026-01-09 12:00:00+00:00,2026-01-16 18:00:00+00:00,0.0,0,-0.0071,0.0,0.084,0.854,fabriquée,R-DET-002,R-DET-010
EQ-CAB-134|temperature_c|1,EQ-CAB-134,temperature_c,30,2026-01-24 12:00:00+00:00,2026-01-31 18:00:00+00:00,1.0,1,0.8664,0.0,0.092,1.002,réelle,R-DET-001,
EQ-CAB-134|temperature_c|2,EQ-CAB-134,temperature_c,30,2026-02-08 12:00:00+00:00,2026-02-15 18:00:00+00:00,0.0,0,0.0068,0.0,0.067,1.092,fabriquée,R-DET-002,R-DET-010
EQ-CAB-134|temperature_c|3,EQ-CAB-134,temperature_c,30,2026-02-23 12:00:00+00:00,2026-03-02 18:00:00+00:00,0.0,0,0.5817,0.0,0.087,1.08,fabriquée,R-DET-002,
EQ-CAB-134|temperature_c|4,EQ-CAB-134,temperature_c,30,2026-03-25 12:00:00+00:00,2026-04-01 18:00:00+00:00,1.0,1,0.7951,0.0,0.092,0.943,réelle,R-DET-001,
EQ-CAB-134|temperature_c|5,EQ-CAB-134,temperature_c,30,2026-04-02 00:00:00+00:00,2026-04-09 06:00:00+00:00,0.0,0,-0.3484,0.0,0.278,0.891,fabriquée,R-DET-002,R-DET-010
EQ-CAB-134|temperature_c|6,EQ-CAB-134,temperature_c,30,2026-04-17 00:00:00+00:00,2026-04-24 06:00:00+00:00,1.0,0,0.7996,0.0,0.029,1.09,réelle,R-DET-001,
EQ-CAB-134|temperature_c|7,EQ-CAB-134,temperature_c,30,2026-05-09 12:00:00+00:00,2026-05-16 18:00:00+00:00,0.0,1,-0.063,0.0,0.029,1.156,fabriquée,R-DET-002,R-DET-010;R-DET-014
EQ-CAB-134|temperature_c|8,EQ-CAB-134,temperature_c,30,2026-06-08 12:00:00+00:00,2026-06-15 18:00:00+00:00,0.0,1,0.663,0.0,0.279,1.034,fabriquée,R-DET-002,R-DET-014
EQ-CHILL-001|pressure_bar|0,EQ-CHILL-001,pressure_bar,30,2026-03-03 00:00:00+00:00,2026-03-10 06:00:00+00:00,1.0,0,0.5281,0.0,,,réelle,R-DET-001,
EQ-CHILL-001|temperature_c|0,EQ-CHILL-001,temperature_c,30,2026-01-02 00:00:00+00:00,2026-01-09 06:00:00+00:00,1.0,0,0.7843,0.0,0.33,1.135,réelle,R-DET-001,
EQ-CHILL-001|temperature_c|1,EQ-CHILL-001,temperature_c,30,2026-03-25 12:00:00+00:00,2026-04-01 18:00:00+00:00,1.0,0,0.8804,0.0,0.008,1.0,réelle,R-DET-001,
EQ-CHILL-001|temperature_c|2,EQ-CHILL-001,temperature_c,30,2026-04-17 00:00:00+00:00,2026-04-24 06:00:00+00:00,1.0,0,0.8794,0.0,0.03,1.018,réelle,R-DET-001,
EQ-CHILL-115|pressure_bar|0,EQ-CHILL-115,pressure_bar,30,2026-02-16 00:00:00+00:00,2026-02-23 06:00:00+00:00,1.0,1,0.5061,0.0,0.055,1.018,réelle,R-DET-001,
EQ-CHILL-115|temperature_c|0,EQ-CHILL-115,temperature_c,30,2026-01-17 00:00:00+00:00,2026-01-24 06:00:00+00:00,0.0,2,-0.0895,0.0,0.34,0.842,fabriquée,R-DET-002,R-DET-010;R-DET-014
EQ-CHILL-115|temperature_c|1,EQ-CHILL-115,temperature_c,30,2026-02-08 12:00:00+00:00,2026-02-15 18:00:00+00:00,1.0,0,0.7299,0.0,0.115,1.008,réelle,R-DET-001,
