rule_id,origin,table,status,description,justification
R-EQ-001,M2,equipment,etendue,`equipment_id` unique,Decision reprise a l'identique sur la cle composite des mesures (voir R-SEN-001).
R-EQ-002,M2,equipment,conservee,`criticality` dans le domaine ferme,
R-EQ-003,M2,equipment,conservee,`equipment_type` normalise,
R-EQ-004,M2,equipment,conservee,`rated_power_kw` strictement positive,
R-EQ-005,M2,equipment,conservee,`commissioning_date` anterieure a la fin de periode,
R-EQ-006,M2,equipment,conservee,champs descriptifs renseignes,
R-EVT-001,M2,events,etendue,`event_id` unique,Decision reprise a l'identique sur la cle composite des mesures (voir R-SEN-001).
R-EVT-002,M2,events,conservee,`severity` dans le domaine ferme,
R-EVT-003,M2,events,conservee,`event_type` normalise et dans le domaine,
R-EVT-004,M2,events,conservee,`end_at` posterieure a `start_at`,
R-EVT-005,M2,events,conservee,`equipment_id` present dans la table preparee,
R-MNT-001,M2,maintenance,etendue,`maintenance_id` unique,Decision reprise a l'identique sur la cle composite des mesures (voir R-SEN-001).
R-MNT-002,M2,maintenance,conservee,`event_id` present dans la table preparee,
R-MNT-003,M2,maintenance,conservee,`equipment_id` present dans la table preparee,
R-MNT-004,M2,maintenance,conservee,`closed_at` posterieure a `opened_at`,
R-MNT-005,M2,maintenance,conservee,`downtime_minutes` positive et plausible,
R-MNT-006,M2,maintenance,conservee,`parts_cost_eur` positive,
R-MNT-007,M2,maintenance,conservee,`intervention_type` normalise et dans le domaine,
R-MNT-008,M2,maintenance,conservee,absence d'information personnelle dans les notes,
R-SEN-001,M3,sensors,nouvelle,Cle logique `equipment_id + timestamp + sensor_name` unique,
R-SEN-002,M3,sensors,nouvelle,`timestamp` lisible ; fuseau explicite ou hypothese UTC tracee,
R-SEN-003,M3,sensors,nouvelle,Horodatage aligne sur la grille nominale 00/06/12/18,
R-SEN-004,M3,sensors,nouvelle,Continuite de l'echantillonnage au pas nominal de 6 h,
R-SEN-005,M3,sensors,nouvelle,`sensor_name` normalise et dans le domaine des 5 capteurs,
R-SEN-006,M3,sensors,nouvelle,`unit` conforme a l'unite de reference du capteur,
R-SEN-007,M3,sensors,nouvelle,`value` renseignee et numerique,
R-SEN-008,M3,sensors,nouvelle,`value` non sentinelle — une valeur negative est impossible,
R-SEN-009,M3,sensors,nouvelle,`value` dans la plage observee du capteur,
R-SEN-010,M3,sensors,nouvelle,Capteur non fige — valeur strictement constante prolongee,
R-SEN-011,M3,sensors,nouvelle,Absence de derive monotone marquee sur la serie,
R-SEN-012,M3,sensors,nouvelle,Absence de saut brutal hors de proportion,
R-SEN-013,M3,sensors,nouvelle,`equipment_id` present dans le parc prepare,
R-SEN-014,M3,sensors,nouvelle,Mesure comprise dans la periode annoncee,
R-SEN-015,M3,sensors,nouvelle,Etiquette `period` coherente avec la date de la mesure,
